Alcaldía,2012,2013,2014,2015,2016,2017,2018,2019,2020
Álvaro Obregón,67.46,68.68,68.67,70.47,71.56,74.41,75.37,70.53,22.13
Azcapotzalco,58.47,60.97,61.86,60.89,60.97,63.45,63.23,64.2,21.83
Benito Juárez,63.4,65.97,67.19,68.68,69.53,72.31,72.05,68.41,22.33
Coyoacán,64.69,67.24,67.76,69.11,69.52,72.43,72.1,68.79,22.1
Cuajimalpa,63.88,68.58,69.56,71.17,72.1,75.02,74.7,70.74,22.21
Cuauhtémoc,61.67,64.35,64.88,65.71,66.51,69.23,69.5,67.01,22.02
Gustavo A. Madero,56.14,59.6,63.41,63.91,64.44,67.28,66.64,65.38,21.7
Iztacalco,60.48,63.3,67.09,67.83,68.34,70.88,69.74,67.35,22.32
Iztapalapa,61.19,65.16,66.34,68.57,68.04,70.77,70.05,67.32,22.22
Magdalena Contreras,67.36,69.55,68.94,69.91,71.07,74.05,73.46,67.32,21.88
Miguel Hidalgo,64.03,65.18,65.96,65.91,67.16,69.94,69.94,68.82,21.76
Tláhuac,66.88,70.22,69.95,73.8,74.59,77.41,77.28,70.72,22.96
Tlalpan,62.8,64.71,67.55,68.45,69.82,72.73,72.13,69.52,22.04
Venustiano Carranza,63.86,66.34,66.04,66.77,67.74,70.51,69.23,67.71,22
Xochimilco,62.02,64.99,67.44,69.4,69.8,72.62,71.5,67.86,22.51
Promedio,65.25,64.79,65.65,66.5,67.36,70.11,70.45,67.68,22.02
